Year League,Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500,ExInn,Ties
1871 NA_Season,3,Chicago White Stockings,19,9,0.679,2.0,2.0,10.8,8.6,2.2,0.1,2.3,17-11,2.0,13-4,6-5,1-0,18-8,1-1,8-6,11-3,,
1871 NA_Season,4,New York Mutuals,16,17,0.485,7.5,19.0,9.2,9.5,-0.3,0.0,-0.4,16-17,0.0,12-7,4-10,1-3,14-13,1-3,8-9,8-8,,
1871 NA_Season,5,Washington Olympics,15,15,0.5,7.0,17.0,9.7,9.5,0.2,0.1,0.3,15-15,0.0,8-6,7-9,1-1,12-13,3-2,3-9,12-6,,
1871 NA_Season,6,Troy Haymakers,13,15,0.464,8.0,21.5,12.1,12.5,-0.4,0.0,-0.3,14-14,-1.0,7-9,6-6,2-0,13-15,0-0,5-10,8-5,,
1871 NA_Season,7,Cleveland Forest Citys,10,19,0.345,11.5,44.5,8.6,11.8,-3.2,0.1,-3.1,10-19,0.0,3-10,7-9,3-0,8-17,2-2,2-11,8-8,,
1871 NA_Season,8,Fort Wayne Kekiongas,7,12,0.368,9.5,30.5,7.2,12.8,-5.6,0.2,-5.4,5-14,2.0,5-4,2-8,0-0,6-11,1-1,1-8,6-4,,
1871 NA_Season,9,Rockford Forest Citys,4,21,0.16,15.5,76.5,9.2,11.5,-2.2,0.1,-2.2,10-15,-6.0,3-4,1-17,0-5,3-19,1-2,0-12,4-9,,
1915 FL_Season,1,Chicago Whales,86,66,0.566,--,,4.1,3.5,0.7,-0.1,0.6,88-64,-2.0,44-32,42-34,26-24,67-48,19-18,44-42,42-24,10-6,
1915 FL_Season,2,St. Louis Terriers,87,67,0.565,--,,4.0,3.3,0.7,-0.1,0.6,90-64,-3.0,43-34,44-33,30-22,69-51,18-16,46-42,41-25,5-7,
1915 FL_Season,3,Pittsburgh Rebels,86,67,0.562,0.5,1.0,3.8,3.4,0.4,0.0,0.4,85-68,1.0,45-31,41-36,23-20,69-51,17-16,43-44,43-23,8-5,
1915 FL_Season,4,Kansas City Packers,81,72,0.529,5.5,16.0,3.6,3.6,0.0,0.0,0.0,76-77,5.0,46-31,35-41,33-23,67-58,14-14,41-46,40-26,4-6,
1915 FL_Season,5,Newark Pepper,80,72,0.526,6.0,18.0,3.8,3.6,0.1,0.0,0.1,79-73,1.0,40-39,40-33,23-27,51-43,29-29,43-43,37-29,8-6,
1915 FL_Season,6,Buffalo Blues,74,78,0.487,12.0,48.0,3.8,4.1,-0.4,0.1,-0.3,69-83,5.0,37-40,37-38,24-20,66-69,8-9,49-61,25-17,4-5,
1915 FL_Season,7,Brooklyn Tip-Tops,70,82,0.461,16.0,72.0,4.2,4.4,-0.2,0.0,-0.1,73-79,-3.0,34-40,36-42,17-24,43-46,27-36,46-64,24-18,8-3,
1915 FL_Season,8,Baltimore Terrapins,47,107,0.305,40.0,240.0,3.6,4.9,-1.4,0.2,-1.2,55-99,-8.0,24-51,23-56,15-31,39-85,8-22,32-78,15-29,4-13,
1930 NL,1,St. Louis Cardinals,92,62,0.597,--,,6.5,5.1,1.4,-0.2,1.3,94-60,-2.0,53-24,39-38,23-31,64-41,28-21,43-45,49-17,4-7,
1930 NL,2,Chicago Cubs,90,64,0.584,2.0,2.0,6.4,5.6,0.8,-0.1,0.7,87-67,3.0,51-26,39-38,27-20,71-48,19-16,46-42,44-22,10-2,
1930 NL,3,New York Giants,87,67,0.565,5.0,8.0,6.2,5.3,0.9,-0.1,0.8,88-66,-1.0,46-31,41-36,20-23,65-50,22-17,45-43,42-24,7-6,
1930 NL,4,Brooklyn Robins,86,68,0.558,6.0,11.0,5.7,4.8,0.9,-0.1,0.8,89-65,-3.0,49-28,37-40,18-23,48-43,38-25,45-43,41-25,6-8,
1930 NL,5,Pittsburgh Pirates,80,74,0.519,12.0,35.0,5.8,6.0,-0.2,0.0,-0.2,74-80,6.0,42-35,38-39,24-15,52-43,28-31,41-47,39-27,6-6,
